Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,17,18,19,20,21,21,22,22,23,24,25,26,26,27,27,28,28,29,30,,
Albania,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3,3,3,3,3,3,3,3,,
Algeria,27,28,28,29,29,30,30,31,31,32,32,32,33,33,34,35,35,36,37,,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Angola,10,11,11,11,12,12,12,13,13,13,14,14,15,15,16,16,17,17,18,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Argentina,34,35,35,36,36,37,37,37,38,38,38,39,39,40,40,40,41,41,42,,
Armenia,3.2,3.1,3.1,3.1,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,,
Australia,18,18,18,18,18,19,19,19,19,20,20,20,20,20,21,21,21,22,22,,
Austria,8,8,8,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,,
Azerbaijan,7.8,8,8.1,8.1,8.2,8.3,8.4,8.5,8.5,8.6,8.7,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,,
"Bahamas, The",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
Bahrain,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.1,1.2,1.2,,
Bangladesh,118,120,121,123,126,128,130,132,134,137,139,142,144,147,149,151,154,156,159,,
Barbados,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
Belarus,10,10,10,10,10,10,10,10,10,10,9.9,9.9,9.8,9.8,9.7,9.7,9.7,9.7,9.7,,
Belgium,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Belize,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
Benin,5.3,5.5,5.6,5.8,6,6.2,6.4,6.6,6.8,7.1,7.3,7.5,7.8,8,8.3,8.5,8.8,9.1,9.3,,
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bhutan,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
"Bolivia, Plurnational State of",7.1,7.2,7.4,7.5,7.7,7.9,8,8.2,8.4,8.5,8.7,8.9,9.1,9.2,9.4,9.6,9.8,9.9,10,,
Bosnia and Herzegovina,3.8,3.6,3.5,3.6,3.6,3.6,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,,
Botswana,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1,,
Brazil,157,159,162,164,167,169,172,174,177,179,182,184,186,188,190,192,194,196,198,,
Brunei,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
Bulgaria,8.4,8.4,8.3,8.2,8.1,8,7.9,7.8,7.7,7.7,7.6,7.5,7.5,7.4,7.3,7.3,7.2,7.1,7.1,,
Burkina Faso,9.2,9.6,9.9,10,11,11,11,12,12,13,13,13,14,14,15,15,16,16,17,,
Burundi,5.7,5.7,6.2,6.2,6.2,6.4,6.6,6.8,7,7.3,7.6,7.9,8.2,8.5,8.8,9.1,9.5,9.9,10,,
Cambodia,11,11,11,11,12,12,12,12,13,13,13,13,13,13,14,14,14,14,15,,
Cameroon,13,13,14,14,14,15,15,15,16,16,16,17,17,18,18,18,19,19,20,,
Canada,29,29,30,30,30,31,31,31,31,32,32,32,32,33,33,33,33,34,34,,
Cape Verde,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central African Republic,3.4,3.5,3.5,3.6,3.7,3.8,3.9,4,4.1,4.1,4.2,4.3,4.4,4.4,4.5,4.6,4.7,4.8,5,,
Chad,6.4,6.5,6.8,7.1,7.3,7.5,7.7,7.9,8.2,8.4,8.7,9.1,9.4,9.6,9.9,10,10,11,11,,
Chile,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,,
China,1191,1204,1216,1228,1238,1248,1256,1264,1271,1278,1284,1291,1298,1304,1311,1317,1324,1330,1337,,
Colombia,35,36,37,37,38,38,39,39,39,40,40,41,41,42,43,43,44,44,45,,
Comoros,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,,
Congo (Kinshasa),43,45,47,48,48,49,51,52,54,56,57,59,61,63,64,66,68,70,72,,
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Costa Rica,3.3,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4,4,4.1,4.1,4.2,4.3,4.3,4.4,4.5,4.5,4.6,,
C™te d'Ivoire,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,21,22,,
Croatia,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,
Cuba,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,
Cyprus,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1.1,1.1,1.1,1.1,,
Czech Republic,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Democratic Republic of Congo,2.5,2.6,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,,
Denmark,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,,
Djibouti,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,,
